Timestep,Average Reward,C Loss,M Loss
100,-353.01639803597374,173876.0,0
200,-605.80849492800814,440843.0,0
300,-565.97261914304249,431734.0,0
400,-405.52475069320235,257412.0,0
500,-456.74801758943761,270656.0,0
600,-416.55958358098673,224358.0,0
700,-439.80602506746408,272702.0,0
800,-489.37003655595493,302511.0,0
900,-421.60661966079357,239018.0,0
1000,-535.53215169462101,330328.0,0
1100,-509.91354790865239,315332.0,0
1200,-393.31118189591996,210529.0,0
1300,-555.91177457370713,352904.0,0
1400,-338.27123601018036,179433.0,0
1500,-356.26883069411434,152568.0,0
1600,-525.45016940513142,325349.0,0
1700,-502.02309836539905,309684.0,0
1800,-424.98418425188231,275524.0,0
1900,-492.61476260409233,284273.0,0
2000,-452.42798514240383,264044.0,0
2100,-506.79743390337785,340574.0,0
2200,-485.31746457169226,285698.0,0
2300,-548.76450046626087,352544.0,0
2400,-481.53575828321459,319621.0,0
2500,-420.87751003214146,229547.0,0
2600,-560.21403377953038,394246.0,0
2700,-404.6832176794436,228319.0,0
2800,-529.11529097423386,375086.0,0
2900,-362.14525852570711,186073.0,0
3000,-427.405046091087,257028.0,0
3100,-459.76724435217278,283227.0,0
3200,-396.75739611995846,209441.0,0
3300,-414.5519026890135,238346.0,0
3400,-296.1116038232812,128114.0,0
3500,-237.54194670765332,70867.1,0
3600,-454.08528687513638,286730.0,0
3700,-469.97552365179246,302905.0,0
3800,-491.08583276534648,362494.0,0
3900,-448.4495171169084,246550.0,0
4000,-475.18394947964828,277834.0,0
4100,-519.40014308571574,353806.0,0
4200,-286.20886686858267,98944.0,0
4300,-462.32883274630638,281882.0,0
4400,-335.36852578521831,163055.0,0
4500,-468.78052221246503,269707.0,0
4600,-470.52287419963483,256448.0,0
4700,-563.08132842702685,390251.0,0
4800,-362.99142409656065,190225.0,0
4900,-439.59850074637245,247086.0,0
5000,-343.39360470150444,168718.0,0
5100,-364.84258442393366,196690.0,0
5200,-423.04772506402117,266696.0,0
5300,-591.89897105413331,401410.0,0
5400,-427.73737813617714,245765.0,0
5500,-417.78738799906523,230080.0,0
5600,-671.92170132287265,515719.0,0
5700,-409.05697865916341,236693.0,0
5800,-514.74239678523497,335164.0,0
5900,-543.77353725287674,360499.0,0
6000,-285.63895880271275,121843.0,0
6100,-406.79864443169839,215616.0,0
6200,-535.80965644096705,371934.0,0
6300,-384.96320312519492,249466.0,0
6400,-343.17610115603691,155906.0,0
6500,-440.38639535343702,261151.0,0
6600,-488.68546487954546,350153.0,0
6700,-476.59993448069196,277402.0,0
6800,-512.70307306274208,331358.0,0
6900,-472.88347224687675,272449.0,0
7000,-433.00314341895756,228558.0,0
