Timestep,Average Reward,C Loss,M Loss
100,-312.98747310732927,132749.0,160.584
200,-465.59064769744384,275963.0,371.927
300,-643.30800284332497,472489.0,634.204
400,-480.56800198602815,266683.0,293.708
500,-377.08192351270355,219156.0,196.656
600,-425.40852772202794,215105.0,296.414
700,-559.34444231957536,383644.0,514.543
800,-306.80974188653045,120679.0,169.305
900,-422.76922037373203,260190.0,395.33
1000,-459.4728685634833,280011.0,355.46
1100,-491.40723007445644,320189.0,441.738
1200,-611.16638876984109,431433.0,617.998
1300,-674.01056444469464,499326.0,483.073
1400,-322.50473800626025,145452.0,263.489
1500,-454.10720752452477,277065.0,412.256
1600,-229.66945929491018,77395.2,181.861
1700,-428.41873727179183,239664.0,343.234
1800,-502.71494297811375,337743.0,394.21
1900,-512.60934527300708,340155.0,472.048
2000,-473.63423447137762,290039.0,410.91
2100,-476.39626537268072,275420.0,342.868
2200,-405.01612369023189,213595.0,448.41
2300,-552.84509687639581,388471.0,566.36
2400,-500.65558551450943,313837.0,358.887
2500,-437.49855239565682,222010.0,298.608
2600,-460.77063479305548,300104.0,502.511
2700,-374.3489345677317,186207.0,233.379
2800,-522.98070493239982,332901.0,567.864
2900,-451.22321182157827,269444.0,340.961
3000,-588.78954338818539,422525.0,424.732
3100,-434.33168762621472,235042.0,156.721
3200,-245.41304512941767,90592.5,144.954
3300,-595.72960251406721,411036.0,602.304
3400,-395.45250811537386,236286.0,310.579
3500,-381.7483587731856,185366.0,229.744
3600,-496.62973896105393,305718.0,282.59
3700,-358.96472166408967,169726.0,278.11
3800,-382.57126286218261,238136.0,196.094
3900,-587.32458979571925,401306.0,377.147
4000,-546.80005717780352,380591.0,470.36
4100,-533.53151789956701,414299.0,301.567
4200,-420.1087530140228,250463.0,426.47
4300,-414.71335230856835,233273.0,415.194
4400,-412.98086869273146,242703.0,316.851
4500,-478.20083914315262,283855.0,163.988
4600,-486.28634980238849,319564.0,205.834
4700,-465.17270194798346,245599.0,221.148
4800,-458.88683957290885,286948.0,326.642
4900,-312.22498473543607,159992.0,330.445
5000,-543.84677847972341,378288.0,329.113
5100,-458.88073433692659,280694.0,403.234
5200,-488.03191476830392,319646.0,251.776
5300,-601.22102273387588,470117.0,373.599
5400,-537.97093694521607,402747.0,476.123
5500,-338.26183356951628,176822.0,234.534
5600,-390.67481795661894,207997.0,285.163
5700,-517.01329342814643,338384.0,305.36
5800,-458.03399261675696,299977.0,401.282
5900,-546.10162357359968,412866.0,578.12
6000,-381.10128107995774,231822.0,109.085
6100,-492.55198217612821,306559.0,271.699
6200,-567.09693402881169,385369.0,383.367
6300,-416.84478644036579,251030.0,361.274
6400,-547.40031605406193,401960.0,381.233
6500,-421.27668750096257,210885.0,258.906
6600,-372.47333043863813,184277.0,305.05
6700,-465.6012446823521,293716.0,277.767
6800,-589.19059468847252,432820.0,756.033
6900,-568.01633495330418,418557.0,464.06
7000,-466.64788765309231,266053.0,270.869
7100,-384.39702769683407,201849.0,106.216
7200,-388.69579132714381,202633.0,371.23
7300,-247.78064313649026,84821.8,172.894
7400,-384.03018607759384,187651.0,325.649
7500,-425.93516990330676,233508.0,319.728
7600,-417.37454147651829,247411.0,385.411
7700,-388.83426518386818,237867.0,416.869
7800,-493.21169085408246,288191.0,364.909
7900,-528.08280153392934,355961.0,554.606
8000,-576.34665119943759,451006.0,495.702
8100,-415.65016543484381,272228.0,589.359
8200,-362.60442722479593,191863.0,182.783
8300,-327.40503040593489,158423.0,322.613
8400,-397.57574384664025,224125.0,166.945
8500,-391.19698192093784,210813.0,287.382
8600,-503.59262509604065,301259.0,324.763
8700,-440.98590844299622,241608.0,329.13
8800,-418.85785363090309,229870.0,336.724
8900,-530.03622335583543,372071.0,542.461
9000,-282.51715002060536,98081.2,144.954
9100,-550.86956139035317,383162.0,338.359
9200,-474.24440042972577,307814.0,204.738
9300,-366.68952369409249,204611.0,79.3251
9400,-426.52549641773294,214225.0,340.851
9500,-484.55194973210052,274656.0,295.603
9600,-555.24452091160231,371474.0,467.878
9700,-256.2337278524443,93641.4,143.295
9800,-509.55973893421071,341007.0,425.137
9900,-417.24570231270349,241786.0,392.009
10000,-420.74599502199612,255879.0,244.172
10100,-353.5974586168162,182964.0,321.644
10200,-405.60602830093444,260504.0,426.876
10300,-472.77369149961567,314361.0,476.719
10400,-568.82981552664194,412663.0,657.279
10500,-343.55620930923317,149875.0,204.231
10600,-472.07660966990568,298925.0,329.959
10700,-524.50965913216487,360024.0,334.928
10800,-486.80282904962542,300822.0,499.684
10900,-600.8675699185485,417435.0,278.532
11000,-471.63677945414207,293340.0,361.938
11100,-555.69007797300799,430568.0,410.116
11200,-418.79346214999367,239698.0,253.212
11300,-323.22788741454019,170643.0,173.815
11400,-411.09036347512216,246875.0,265.675
11500,-578.68615594402854,427041.0,553.729
11600,-513.04296760116745,362138.0,251.741
11700,-323.71011412243774,158678.0,134.266
11800,-386.24468889626536,202009.0,317.832
11900,-544.70503245326961,342261.0,453.213
12000,-429.84808861265151,240326.0,313.287
12100,-510.6054909094014,372109.0,491.886
12200,-519.602769689139,328550.0,461.337
12300,-503.0094637734004,329003.0,457.061
12400,-591.41724079119933,432682.0,429.749
12500,-451.50010162872553,264101.0,332.593
12600,-487.03824168234553,317405.0,239.741
12700,-452.60170581901383,250011.0,257.933
12800,-445.44236077052733,249603.0,291.04
