Timestep,Average Reward,C Loss,M Loss
10,-1593.0274199992489,2.55737e+06,0
20,-2016.9939885436088,4.06772e+06,0
30,-1900.1962420662701,3.82336e+06,0
40,-462.65414027647728,237075.0,0
50,-91.788225424937494,72868.9,0
60,-811.94173075785579,674384.0,0
70,-656.11104876001832,859640.0,0
80,-2454.4566073729479,6.28568e+06,0
90,-833.70455945950255,744358.0,0
100,-176.38703664788787,31779.7,1941.56
110,-525.83424293820394,969600.0,1941.56
120,-3001.6555062207199,9.01189e+06,1941.56
130,-2699.9415866463692,7.5337e+06,1941.56
140,-1332.9928753860236,1.87975e+06,1941.56
150,-2136.0097715107167,4.7752e+06,1941.56
160,-710.91157578393108,519419.0,1941.56
170,-388.46336225046787,157750.0,1941.56
180,-589.6704995394208,375203.0,1941.56
190,-274.44814837694184,379514.0,1941.56
200,-1850.0144950393419,3.46647e+06,1186.1
210,-1213.4173553953526,1.47257e+06,1186.1
220,-1221.1250755410829,1.51313e+06,1186.1
230,-1596.9859676726746,2.58784e+06,1186.1
240,-1005.0516154670935,1.0104e+06,1186.1
250,-989.61450966480334,987619.0,1186.1
260,-1267.2903949220063,1.60682e+06,1186.1
270,-1293.0459105239324,1.70392e+06,1186.1
280,-887.50296707397649,946498.0,1186.1
290,-2034.4426568188417,4.15579e+06,1186.1
300,-1561.4617913665793,2.49734e+06,2499.78
310,-890.85392995155655,829371.0,2499.78
320,-1337.3240435308862,1.94853e+06,2499.78
330,-361.95126558977387,589833.0,2499.78
340,-2235.4465925506647,5.21191e+06,2499.78
350,-866.8902339202848,756558.0,2499.78
360,-1005.5593355405852,1.05559e+06,2499.78
370,-400.27139487299985,168544.0,2499.78
380,-623.90190079598199,417435.0,2499.78
390,-292.29749320529123,351807.0,2499.78
400,-1673.984210873926,3.08636e+06,1205.4
410,-287.17286098096622,498739.0,1205.4
420,-2078.858282772394,4.51253e+06,1205.4
430,-708.66879804221492,526021.0,1205.4
440,-309.28297103091961,130673.0,1205.4
450,-873.88595752442484,763882.0,1205.4
460,-1066.8519220309729,1.24245e+06,1205.4
470,-1917.8841002447966,3.78464e+06,1205.4
480,-1064.7719896886861,1.30477e+06,1205.4
490,-2212.9178873817782,4.97364e+06,1205.4
500,-1349.4609498108853,1.82978e+06,2978.95
510,-1062.1572403768801,1.12819e+06,2978.95
520,-1099.9204142062961,1.22439e+06,2978.95
530,-1412.3246409027033,2.01301e+06,2978.95
540,-1103.6330860265011,1.31271e+06,2978.95
550,-1954.5418424926843,3.85653e+06,2978.95
560,-1366.4252325708355,1.86766e+06,2978.95
570,-1184.9662566840009,1.53449e+06,2978.95
580,-275.64083047834839,345157.0,2978.95
590,-1812.1858136563339,3.28978e+06,2978.95
600,-1656.4764737490041,2.7901e+06,2252.85
610,-2238.6773251776949,5.04719e+06,2252.85
620,-1609.2014534756659,2.62214e+06,2252.85
630,-1165.4172112656513,1.45087e+06,2252.85
640,-2025.5320757499085,4.13333e+06,2252.85
650,-1636.1418762127664,2.8597e+06,2252.85
660,-2641.5206685905291,7.60407e+06,2252.85
670,-303.42612482167328,103368.0,2252.85
680,-636.19761267352919,405240.0,2252.85
690,-655.50536271368503,446893.0,2252.85
700,-368.32302269984712,238107.0,1952.85
710,-1269.6329901752979,1.63252e+06,1952.85
720,-810.72341946023585,667262.0,1952.85
730,-663.95165929380198,656678.0,1952.85
740,-1878.2683584415536,3.79069e+06,1952.85
750,-436.11607191649625,264276.0,1952.85
760,-1175.0423700852386,1.41792e+06,1952.85
770,-692.5185327220762,552999.0,1952.85
780,-1470.5458753186285,2.17562e+06,1952.85
790,-1075.2789505375993,1.17986e+06,1952.85
